111490|Software Engineering|202004405|202004410,202004411,202004412,202004413,202004414
111491|Algorithms|202004400|202004420,202004421,202004415
111492|Data Structures|202004401|202004430,202004432
111493|Computer Organization|202004402|202004433,202004434
111494|Objects and Data abstraction|202004403|202004425,202004426,202004427,202004428,202004429,202004430
111495|Computer Programming one|202004404|202004421,202004424
111496|Computer Programming two|202004406|202004421,202004422
111497|Computer Programming three|202004407|202004429,202004430,202004431
111498|Parallel Programming|202004408|202004411,202004416,202004419
111499|Discrete 1|202004409|202004410,202004417,202004423
111500|Discrete 2|202004410|202004422,202004426
111501|Database Management System|202004411|202004427,202004433,202004418
